Date,Category,Revenue
2024-01-31,Cloud Service,111
2024-01-31,Hardware,158
2024-01-31,Consulting,194
2024-02-29,Cloud Service,130
2024-02-29,Hardware,137
2024-02-29,Consulting,176
2024-03-31,Cloud Service,153
2024-03-31,Hardware,152
2024-03-31,Consulting,170
2024-04-30,Cloud Service,160
2024-04-30,Hardware,153
2024-04-30,Consulting,153
2024-05-31,Cloud Service,172
2024-05-31,Hardware,153
2024-05-31,Consulting,142
2024-06-30,Cloud Service,181
2024-06-30,Hardware,153
2024-06-30,Consulting,141
2024-07-31,Cloud Service,200
2024-07-31,Hardware,131
2024-07-31,Consulting,120
2024-08-31,Cloud Service,221
2024-08-31,Hardware,151
2024-08-31,Consulting,121
2024-09-30,Cloud Service,241
2024-09-30,Hardware,156
2024-09-30,Consulting,109
2024-10-31,Cloud Service,255
2024-10-31,Hardware,144
2024-10-31,Consulting,104
2024-11-30,Cloud Service,273
2024-11-30,Hardware,132
2024-11-30,Consulting,84
2024-12-31,Cloud Service,288
2024-12-31,Hardware,136
2024-12-31,Consulting,78
